,DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live),DJIA  (Live)
,Realized Variance (5-minute),Realized Kernel,Return,Realized Variance (5-minute using 1-minute subsamples),Realized Variance (10-minute),Realized Variance (10-minute using 1-minute subsamples),Bipower Variation (5-minute) ,Bipower Variation (5-minute using 1-minute subsamples) ,Median Truncated Realized Variance,Realized Semivariance (5-minute),Realized Semivariance (5-minute using 1-minute subsamples),Number of Transactions,Time span betwen first and last observation (seconds),Close-to-Open Return,Opening Time (Local in Seconds),High-Low Range,High-Open Range,Opening Price,Closing Price
DateID,DJI2.rv,DJI2.rk,DJI2.r,DJI2.rv5ss,DJI2.rv10,DJI2.rv10ss,DJI2.bv5,DJI2.bv5ss,DJI2.medrv,DJI2.rs,DJI2.rs5ss,DJI2.nobs,DJI2.timespan,DJI2.rcto,DJI2.open,DJI2.highlow,DJI2.highopen,DJI2.openprice,DJI2.closeprice
20000403,0.000237502,0.000184546,0.031513388,0.000196531,0.00032644,0.000187951,0.000218982,0.000175866,0.000125702,5.73E-05,5.37E-05,11389,23398.685,,34206.468,-0.032565389,0.032536852,10863.28,11211.07
20000404,0.000994314,0.000595371,-0.00429326,0.001016078,0.001601038,0.001488875,0.001196026,0.001134923,0.000393434,0.000479119,0.000501184,11502,23398.024,,34205.863,0.06324318,0.017031348,11225.34,11177.25
20000405,0.000307169,0.000302004,-0.010813146,0.000284876,0.000212375,0.000272248,0.000351332,0.000309497,0.00016594,0.000168063,0.000142639,11317,23399.22,,34206.816,0.019380035,0.004879109,11163.29,11043.23
20000406,0.000141639,0.000160455,0.007455663,0.000125365,0.000148156,0.000106673,0.000112924,0.000121647,9.31E-05,4.07E-05,4.55E-05,11088,23399.656,,34206.844,-0.015408941,0.015408941,11029.56,11112.1
20000407,0.000102263,0.000111836,-0.001060621,9.87E-05,0.000108821,9.47E-05,7.95E-05,7.64E-05,7.77E-05,4.61E-05,5.66E-05,11072,23399.61,,34205.977,0.011590754,0.006311618,11122.03,11110.24
20000410,0.000118478,0.000118831,0.006212841,0.000108688,0.000125481,0.000118349,0.000129306,0.000108944,8.12E-05,5.11E-05,4.45E-05,11135,23398.167,,34204.196,-0.016964513,0.015400523,11114.89,11184.16
20000411,0.000248229,0.000249742,0.009087479,0.000219508,0.000157089,0.000164461,0.000266103,0.000230918,0.000162548,0.000123888,0.000100917,11226,23398.846,,34203.256,-0.023010889,0.015965276,11180.98,11283.05
20000412,0.000125607,8.76E-05,0.007812143,0.000111955,0.000113471,8.15E-05,7.43E-05,9.59E-05,6.15E-05,3.38E-05,3.72E-05,5832,11988.454,,34212.5,-0.012043287,0.011190317,11283.05,11371.54
20000413,0.000309475,0.000268858,-0.018905502,0.00029762,0.000370537,0.00029197,0.000321069,0.000291717,0.000177759,0.000185328,0.000168836,11264,23399.128,,34214.839,0.02002244,0.00097504,11132.58,10924.09
20000414,0.000924611,0.000661451,-0.056799328,0.000884251,0.001114089,0.000893532,0.000704085,0.000726495,0.000380654,0.000611459,0.000548724,11486,23399.008,,34204.889,0.068319216,0,10922.85,10319.73
20000417,0.000535153,0.000482291,0.025294441,0.000545773,0.00074314,0.000614874,0.000524276,0.000541979,0.000320481,0.000180802,0.000194137,11398,23398.406,,34206.503,-0.032776047,0.02594719,10303.29,10567.23
20000418,0.000196255,0.000216304,0.016545069,0.000204907,0.000206979,0.000216498,0.000150759,0.000180864,0.000152016,6.31E-05,7.11E-05,11419,23399.873,,34203.293,-0.018594851,0.017741314,10584.02,10760.59
20000419,0.000145419,0.000175902,-0.00640714,0.00013557,0.00012493,0.000115054,0.000151201,0.000138029,0.000119649,8.20E-05,7.23E-05,11192,23399.241,,34207.14,0.014685448,0.003757942,10748.97,10680.32
20000420,7.46E-05,8.04E-05,0.015659717,7.25E-05,8.46E-05,7.06E-05,6.02E-05,6.47E-05,6.02E-05,1.90E-05,1.95E-05,10991,23399.912,,34203.199,-0.016726509,0.016232496,10670.36,10838.77
20000421,,,,,,,,,,,,,,,,,,,
20000424,0.00036023,0.000292923,0.007283298,0.000224973,0.000156363,0.000204119,0.000345712,0.000207498,0.000152856,0.000197711,9.01E-05,11365,23399.254,,34204.432,-0.019657615,0.008066374,10822.33,10901.44
20000425,0.00013794,0.000126742,0.018889501,0.000114654,6.49E-05,0.000103077,0.000110806,0.000109026,8.06E-05,4.14E-05,4.00E-05,11141,23399.723,,34206.156,-0.023076864,0.019809542,10916.65,11124.82
20000426,0.000112466,0.000113232,-0.01644389,0.000107502,0.000106827,0.000111676,0.000107621,9.69E-05,7.58E-05,6.83E-05,6.92E-05,11079,23399.36,,34206.777,0.02156262,0.001142418,11127.92,10946.43
20000427,0.000378908,0.000280764,-0.005357084,0.000249251,0.000429917,0.000224244,0.000239153,0.000206629,0.00017196,0.000269746,0.000137062,11131,23398.714,,34206.435,0.017921618,0,10941.91,10883.45
20000428,0.000154687,0.000116509,-0.014343954,0.000135933,0.000169915,0.000162457,0.000157942,0.000134429,6.92E-05,0.000101842,9.09E-05,10841,23399.235,,34206.564,0.02241595,0.006048088,10892.76,10737.63
20000501,9.48E-05,0.000121949,0.006272718,9.86E-05,8.89E-05,0.000102185,9.72E-05,9.74E-05,7.77E-05,3.95E-05,4.70E-05,11041,23399.179,,34205.464,-0.018650344,0.016317267,10749.42,10817.06
20000502,9.96E-05,0.000114152,-0.007052662,9.06E-05,8.70E-05,8.70E-05,9.53E-05,8.86E-05,8.48E-05,6.15E-05,5.23E-05,10878,23398.831,,34205.436,-0.010603692,0.001720777,10805.58,10729.64
20000503,0.000202145,0.000176856,-0.023509865,0.000173094,0.00020828,0.000153937,0.000189383,0.000165086,0.000108655,0.000137338,0.000110011,10979,23398.448,,34207.433,0.03143504,0,10732.21,10482.84
20000504,9.35E-05,0.000139016,-0.00596879,0.000120183,0.000100929,0.000126658,7.34E-05,0.000107387,9.70E-05,5.17E-05,6.45E-05,10568,23399.611,,34210.567,0.011013799,0.004180624,10478.89,10416.53
20000505,0.000117289,0.00012635,0.015584434,0.000122543,9.46E-05,0.000118437,0.000108141,9.93E-05,8.78E-05,2.89E-05,2.63E-05,10395,23399.444,,34204.012,-0.019533347,0.016728182,10409.7,10573.2
20000508,6.46E-05,9.16E-05,0.002506479,7.40E-05,7.98E-05,6.84E-05,5.33E-05,7.02E-05,6.58E-05,3.25E-05,3.52E-05,10614,23398.028,,34209.334,-0.009995431,0.005326659,10571.31,10597.84
20000509,0.000132705,0.000135566,-0.005272398,0.000120937,0.000130826,0.000125012,0.000116155,0.000116583,8.95E-05,7.94E-05,7.05E-05,10885,23399.308,,34206.097,0.01609537,0.007261781,10607.54,10551.76
20000510,0.000183027,0.000186135,-0.016354266,0.000161914,0.000181167,0.000165685,0.000188735,0.000167909,0.000114547,0.00011383,9.23E-05,11202,23399.192,,34209.01,0.023113057,0,10533.09,10362.23
20000511,0.000141406,0.000115795,0.016954064,0.000112603,0.000138922,0.000113191,0.000112834,0.000101144,8.25E-05,3.33E-05,3.23E-05,10933,23398.065,,34212.24,-0.019591253,0.019591253,10369.27,10546.57
20000512,7.16E-05,8.28E-05,0.005927006,7.62E-05,6.81E-05,8.00E-05,6.34E-05,6.70E-05,6.64E-05,2.96E-05,3.16E-05,10561,23399.133,,34215.177,-0.012015553,0.011722593,10549.06,10611.77
20000515,6.49E-05,6.82E-05,0.018049617,6.31E-05,5.67E-05,6.80E-05,5.64E-05,5.83E-05,5.19E-05,1.26E-05,1.44E-05,10543,23398.641,,34206.497,-0.019169946,0.019040777,10606.97,10800.16
20000516,0.000179365,0.000169444,0.010745489,0.000140058,0.000137846,0.000127375,0.000164853,0.000137177,0.000116352,9.66E-05,6.81E-05,10594,23398.875,,34209.529,-0.014241656,0.014241656,10816.01,10932.86
20000517,0.000199855,0.000139375,-0.014176963,0.000129489,0.000181269,9.51E-05,7.98E-05,7.44E-05,6.52E-05,0.000171947,0.000101066,10799,23399.847,,34209.929,0.016421339,0,10930.64,10776.77
20000518,5.05E-05,5.12E-05,0.001065178,5.47E-05,5.50E-05,5.82E-05,4.29E-05,4.10E-05,3.41E-05,2.42E-05,2.70E-05,10596,23397.705,,34206.957,-0.009221053,0.008552417,10771.8,10783.28
20000519,0.000137123,0.000106942,-0.013747634,9.61E-05,0.000114078,8.33E-05,0.000102977,8.63E-05,5.99E-05,9.34E-05,5.87E-05,10853,23397.482,,34217.559,0.018082051,0,10764.22,10617.25
20000522,0.000238616,0.000223981,-0.008128163,0.000240116,0.000257412,0.000277184,0.000263387,0.00023255,0.00012988,0.000144275,0.000142595,11137,23398.593,,34203.537,0.027767529,0.00344542,10624.79,10538.78
20000523,0.000100998,0.000127552,-0.011437072,0.000111814,8.83E-05,0.000105779,0.000109305,0.000114354,8.83E-05,6.25E-05,6.83E-05,10936,23398.857,,34206.03,0.013298828,0.001721621,10539.12,10419.27
20000524,0.000186016,0.000183138,0.010955136,0.000179416,0.000204195,0.000184874,0.00016136,0.000169818,0.000148729,6.81E-05,6.45E-05,11366,23399.291,,34212.626,-0.018184066,0.012742694,10420.9,10535.69
20000525,0.000184461,0.000165442,-0.018998174,0.000174173,0.000148121,0.00016901,0.000145231,0.0001617,0.000115056,0.000129657,0.00010385,11062,23399.428,,34202.933,0.027993367,0.002648943,10529.87,10331.71
20000526,0.000126868,0.000133697,-0.001328999,0.000146109,0.000180724,0.000146252,0.000147934,0.000146154,9.56E-05,6.24E-05,6.72E-05,10829,23398.874,,34206.349,0.012382146,0.006188376,10322.89,10309.18
20000529,,,,,,,,,,,,,,,,,,,
